run_id,row_index,pair_id,A_type,B_type,response
0,0,0,best,middle,B | 8
0,0,1,middle,best,B | 8
0,0,2,best,worst,B | 8
0,0,3,worst,best,B | 9
0,0,4,middle,worst,B | 8
0,0,5,worst,middle,B | 8
0,1,0,best,middle,B | 6
0,1,1,middle,best,B | 6
0,1,2,best,worst,A | 3
0,1,3,worst,best,B | 6
0,1,4,middle,worst,B | 4
0,1,5,worst,middle,B | 6
0,2,0,best,middle,B | 9
0,2,1,middle,best,B | 9
0,2,2,best,worst,B | 8
0,2,3,worst,best,B | 9
0,2,4,middle,worst,B | 9
0,2,5,worst,middle,B | 9
0,3,0,best,middle,B | 8
0,3,1,middle,best,B | 8
0,3,2,best,worst,B | 8
0,3,3,worst,best,B | 9
0,3,4,middle,worst,B | 8
0,3,5,worst,middle,B | 8
0,4,0,best,middle,B | 4
0,4,1,middle,best,B | 6
0,4,2,best,worst,A | 3
0,4,3,worst,best,B | 3
0,4,4,middle,worst,B | 3
0,4,5,worst,middle,B | 2
0,5,0,best,middle,B | 6
0,5,1,middle,best,B | 6
0,5,2,best,worst,B | 6
0,5,3,worst,best,B | 8
0,5,4,middle,worst,B | 5
0,5,5,worst,middle,B | 6
0,6,0,best,middle,A | 6
0,6,1,middle,best,B | 8
0,6,2,best,worst,B | 6
0,6,3,worst,best,B | 8
0,6,4,middle,worst,B | 8
0,6,5,worst,middle,B | 8
0,7,0,best,middle,A | 8
0,7,1,middle,best,B | 9
0,7,2,best,worst,A | 9
0,7,3,worst,best,B | 9
0,7,4,middle,worst,A | 8
0,7,5,worst,middle,B | 9
0,8,0,best,middle,A | 8
0,8,1,middle,best,B | 9
0,8,2,best,worst,A | 8
0,8,3,worst,best,B | 9
0,8,4,middle,worst,A | 8
0,8,5,worst,middle,B | 9
0,9,0,best,middle,B | 6
0,9,1,middle,best,B | 6
0,9,2,best,worst,B | 6
0,9,3,worst,best,B | 8
0,9,4,middle,worst,B | 6
0,9,5,worst,middle,B | 8
0,10,0,best,middle,B | 6
0,10,1,middle,best,B | 9
0,10,2,best,worst,B | 6
0,10,3,worst,best,B | 9
0,10,4,middle,worst,B | 6
0,10,5,worst,middle,B | 8
0,11,0,best,middle,B | 3
0,11,1,middle,best,B | 6
0,11,2,best,worst,A | 3
0,11,3,worst,best,B | 6
0,11,4,middle,worst,A | 3
0,11,5,worst,middle,B | 4
0,12,0,best,middle,B | 8
0,12,1,middle,best,B | 8
0,12,2,best,worst,B | 8
0,12,3,worst,best,B | 8
0,12,4,middle,worst,B | 8
0,12,5,worst,middle,B | 8
0,13,0,best,middle,B | 1
0,13,1,middle,best,A | 1
0,13,2,best,worst,A | 1
0,13,3,worst,best,A | 1
0,13,4,middle,worst,A | 1
0,13,5,worst,middle,A | 1
0,14,0,best,middle,B | 8
0,14,1,middle,best,B | 8
0,14,2,best,worst,B | 6
0,14,3,worst,best,B | 8
0,14,4,middle,worst,B | 6
0,14,5,worst,middle,B | 8
0,15,0,best,middle,A | 6
0,15,1,middle,best,B | 8
0,15,2,best,worst,B | 8
0,15,3,worst,best,B | 8
0,15,4,middle,worst,B | 6
0,15,5,worst,middle,B | 6
0,16,0,best,middle,B | 6
0,16,1,middle,best,B | 6
0,16,2,best,worst,A | 2
0,16,3,worst,best,B | 6
0,16,4,middle,worst,B | 6
0,16,5,worst,middle,B | 6
0,17,0,best,middle,B | 8
0,17,1,middle,best,B | 8
0,17,2,best,worst,B | 8
0,17,3,worst,best,B | 8
0,17,4,middle,worst,B | 8
0,17,5,worst,middle,B | 8
0,18,0,best,middle,A | 4
0,18,1,middle,best,B | 8
0,18,2,best,worst,B | 8
0,18,3,worst,best,B | 8
0,18,4,middle,worst,B | 8
0,18,5,worst,middle,B | 7
0,19,0,best,middle,A | 8
0,19,1,middle,best,B | 9
0,19,2,best,worst,A | 8
0,19,3,worst,best,B | 9
0,19,4,middle,worst,B | 8
0,19,5,worst,middle,B | 8
0,20,0,best,middle,B | 8
0,20,1,middle,best,A | 6
0,20,2,best,worst,B | 6
0,20,3,worst,best,A | 6
0,20,4,middle,worst,A | 6
0,20,5,worst,middle,B | 8
0,21,0,best,middle,B | 9
0,21,1,middle,best,B | 9
0,21,2,best,worst,A | 9
0,21,3,worst,best,B | 9
0,21,4,middle,worst,A | 9
0,21,5,worst,middle,B | 9
0,22,0,best,middle,B | 8
0,22,1,middle,best,B | 9
0,22,2,best,worst,B | 8
0,22,3,worst,best,B | 9
0,22,4,middle,worst,B | 8
0,22,5,worst,middle,B | 8
0,23,0,best,middle,A | 6
0,23,1,middle,best,B | 8
0,23,2,best,worst,A | 6
0,23,3,worst,best,B | 9
0,23,4,middle,worst,B | 6
0,23,5,worst,middle,B | 8
0,24,0,best,middle,A | 3
0,24,1,middle,best,B | 6
0,24,2,best,worst,A | 3
0,24,3,worst,best,B | 6
0,24,4,middle,worst,A | 4
0,24,5,worst,middle,B | 6
0,25,0,best,middle,B | 6
0,25,1,middle,best,B | 3
0,25,2,best,worst,B | 6
0,25,3,worst,best,B | 4
0,25,4,middle,worst,B | 4
0,25,5,worst,middle,B | 6
0,26,0,best,middle,B | 6
0,26,1,middle,best,B | 6
0,26,2,best,worst,B | 6
0,26,3,worst,best,B | 6
0,26,4,middle,worst,B | 4
0,26,5,worst,middle,B | 3
0,27,0,best,middle,A | 4
0,27,1,middle,best,B | 6
0,27,2,best,worst,A | 4
0,27,3,worst,best,B | 6
0,27,4,middle,worst,B | 4
0,27,5,worst,middle,B | 6
0,28,0,best,middle,B | 8
0,28,1,middle,best,B | 8
0,28,2,best,worst,B | 9
0,28,3,worst,best,B | 9
0,28,4,middle,worst,B | 9
0,28,5,worst,middle,B | 9
0,29,0,best,middle,B | 8
0,29,1,middle,best,B | 8
0,29,2,best,worst,B | 8
0,29,3,worst,best,B | 6
0,29,4,middle,worst,B | 6
0,29,5,worst,middle,B | 8
0,30,0,best,middle,A | 8
0,30,1,middle,best,B | 9
0,30,2,best,worst,A | 9
0,30,3,worst,best,B | 9
0,30,4,middle,worst,B | 9
0,30,5,worst,middle,B | 8
0,31,0,best,middle,A | 6
0,31,1,middle,best,B | 8
0,31,2,best,worst,A | 6
0,31,3,worst,best,B | 8
0,31,4,middle,worst,A | 5
0,31,5,worst,middle,B | 8
0,32,0,best,middle,B | 9
0,32,1,middle,best,A | 8
0,32,2,best,worst,B | 6
0,32,3,worst,best,B | 6
0,32,4,middle,worst,A | 8
0,32,5,worst,middle,B | 8
0,33,0,best,middle,A | 4
0,33,1,middle,best,B | 8
0,33,2,best,worst,A | 5
0,33,3,worst,best,B | 8
0,33,4,middle,worst,A | 5
0,33,5,worst,middle,B | 8
0,34,0,best,middle,B | 5
0,34,1,middle,best,B | 6
0,34,2,best,worst,B | 4
0,34,3,worst,best,B | 6
0,34,4,middle,worst,A | 3
0,34,5,worst,middle,B | 6
0,35,0,best,middle,A | 8
0,35,1,middle,best,B | 8
0,35,2,best,worst,A | 8
0,35,3,worst,best,B | 9
0,35,4,middle,worst,A | 8
0,35,5,worst,middle,B | 8
0,36,0,best,middle,B | 2
0,36,1,middle,best,B | 3
0,36,2,best,worst,A | 1
0,36,3,worst,best,B | 3
0,36,4,middle,worst,B | 2
0,36,5,worst,middle,B | 2
0,37,0,best,middle,B | 8
0,37,1,middle,best,B | 8
0,37,2,best,worst,B | 8
0,37,3,worst,best,B | 8
0,37,4,middle,worst,B | 6
0,37,5,worst,middle,B | 8
0,38,0,best,middle,B | 6
0,38,1,middle,best,B | 8
0,38,2,best,worst,B | 8
0,38,3,worst,best,B | 8
0,38,4,middle,worst,B | 6
0,38,5,worst,middle,B | 8
0,39,0,best,middle,B | 6
0,39,1,middle,best,B | 6
0,39,2,best,worst,B | 6
0,39,3,worst,best,B | 6
0,39,4,middle,worst,B | 6
0,39,5,worst,middle,B | 6
0,40,0,best,middle,B | 8
0,40,1,middle,best,B | 6
0,40,2,best,worst,B | 8
0,40,3,worst,best,B | 6
0,40,4,middle,worst,B | 8
0,40,5,worst,middle,B | 8
0,41,0,best,middle,A | 8
0,41,1,middle,best,B | 9
0,41,2,best,worst,A | 8
0,41,3,worst,best,B | 9
0,41,4,middle,worst,B | 8
0,41,5,worst,middle,B | 8
0,42,0,best,middle,B | 8
0,42,1,middle,best,B | 5
0,42,2,best,worst,B | 8
0,42,3,worst,best,A | 6
0,42,4,middle,worst,B | 8
0,42,5,worst,middle,B | 6
0,43,0,best,middle,B | 8
0,43,1,middle,best,B | 8
0,43,2,best,worst,B | 8
0,43,3,worst,best,B | 8
0,43,4,middle,worst,B | 8
0,43,5,worst,middle,B | 8
0,44,0,best,middle,B | 8
0,44,1,middle,best,B | 8
0,44,2,best,worst,B | 8
0,44,3,worst,best,B | 8
0,44,4,middle,worst,B | 8
0,44,5,worst,middle,B | 6
0,45,0,best,middle,B | 8
0,45,1,middle,best,B | 9
0,45,2,best,worst,B | 8
0,45,3,worst,best,B | 8
0,45,4,middle,worst,B | 8
0,45,5,worst,middle,B | 8
0,46,0,best,middle,B | 8
0,46,1,middle,best,B | 6
0,46,2,best,worst,B | 6
0,46,3,worst,best,B | 6
0,46,4,middle,worst,B | 6
0,46,5,worst,middle,B | 6
0,47,0,best,middle,A | 6
0,47,1,middle,best,B | 8
